Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
aac3_IId,dfrA12,0.506950093,0.080003895,0.491075584,0.522824601,4.764067521,0.848577991,4.595691237,4.932443804
aac3_IId,blaNDM_5,0.471417619,0.080371823,0.455470106,0.487365132,3.990690334,0.677029483,3.856352996,4.125027672
aac3_IId,armA,0.412552064,0.119734992,0.388794044,0.436310085,3.352021246,0.965244143,3.160495867,3.543546626
aac3_IId,aadA2,0.377053913,0.050298061,0.367073686,0.387034139,3.615531614,0.55806147,3.504800111,3.726263117
aac3_IId,arr_3,0.36375755,0.053703201,0.35310167,0.374413431,2.988340435,0.445732669,2.899897403,3.076783467
aac3_IId,aadA5,0.355637697,0.027677666,0.350145848,0.361129546,6.044682058,0.817546734,5.882463049,6.206901067
aac3_IId,dfrA27,0.35249403,0.064975824,0.339601417,0.365386643,2.880797944,0.55656021,2.770364324,2.991231564
aac3_IId,blaNDM_1,0.349592767,0.075077461,0.33469577,0.364489764,2.84757547,0.578976051,2.73269406,2.962456879
aac3_IId,sul1,0.347021145,0.023865753,0.342285662,0.351756628,11.85778682,2.455205369,11.3706208,12.34495283
aac3_IId,qacEdelta1,0.345885607,0.023078418,0.341306349,0.350464866,11.10766688,2.419345046,10.62761633,11.58771742
aac3_IId,qacE,0.343124538,0.023933584,0.338375596,0.347873481,12.27614272,2.662525184,11.74783996,12.80444548
aac3_IId,mphA,0.334860245,0.023255164,0.330245916,0.339474574,9.142853239,1.579927927,8.829361262,9.456345217
aac3_IId,dfrA17,0.333834705,0.024167524,0.329039344,0.338630066,5.620140573,0.672207766,5.486759969,5.753521178
aac3_IId,aadA16,0.315556748,0.078920499,0.299897209,0.331216288,2.565783727,0.659304819,2.434963347,2.696604107
aac3_IId,qnrB6,0.314781933,0.146665934,0.28568023,0.343883636,2.560083646,1.239376035,2.314164552,2.80600274
aac3_IId,msrE,0.313784532,0.071820465,0.299533794,0.328035271,2.536398045,0.561539314,2.424976462,2.647819627
aac3_IId,mphE,0.303254004,0.081769631,0.287029135,0.319478872,2.457152961,0.645697793,2.32903251,2.585273411
aac3_IId,ermB,0.295182852,0.036493138,0.287941822,0.302423883,2.457831255,0.266980284,2.404856574,2.510805935
aac3_IId,qacL,0.290660443,0.083275913,0.274136695,0.307184191,2.402614958,0.669110568,2.269848904,2.535381011
aac3_IId,mefB,0.287919956,0.093771665,0.269313623,0.306526288,2.331144946,0.738249946,2.18466014,2.477629752
aac3_IId,rmtB1,0.274854774,0.04973015,0.264987234,0.284722315,2.280037381,0.421355246,2.196431359,2.363643403
aac3_IId,sul3,0.269084295,0.063708293,0.256443188,0.281725403,2.21255799,0.496834656,2.113975216,2.311140765
aac3_IId,dfrA7,0.267873785,0.041592257,0.259620979,0.276126591,2.203883039,0.339284076,2.136561717,2.271204361
aac3_IId,cmlA1,0.26711412,0.069401478,0.253343361,0.280884878,2.185317478,0.534537387,2.079253663,2.291381292
aac3_IId,gyrA_S83A,0.26176505,0.048888991,0.252064414,0.271465687,2.127213944,0.375830749,2.05264097,2.201786918
aac3_IId,dfrA1,0.257533531,0.018615634,0.253839786,0.261227277,6.308997674,0.860066925,6.138341737,6.479653611
aac3_IId,arr,0.239140653,0.044900118,0.230231495,0.24804981,1.965987913,0.358896596,1.894775042,2.037200784
aac3_IId,mcr_3_1,0.237464897,0.114378078,0.214769805,0.260159989,1.901285255,0.891426569,1.724406884,2.078163626
aac3_IId,qepA,0.231640827,0.072486992,0.217257835,0.246023819,1.873406863,0.580060901,1.758310196,1.98850353
aac3_IId,blaTEM_1,0.229755658,0.02929398,0.223943096,0.235568219,4.066674029,1.670297801,3.735250708,4.39809735
aac3_IId,dfrA16,0.229530284,0.137836395,0.202180553,0.256880015,1.849368952,1.110914955,1.628939323,2.06979858
aac3_IId,ble,0.226158099,0.029133206,0.220377439,0.231938759,2.003968062,0.262597718,1.951862978,2.056073146
aac3_IId,erm42,0.224256597,0.070521427,0.210263616,0.238249578,1.811196882,0.568066935,1.698480078,1.923913686
aac3_IId,oqxA,0.215817449,0.035602898,0.208753061,0.222881836,1.76608241,0.264544743,1.713590994,1.818573826
aac3_IId,blaTEM,0.21447052,0.027288114,0.209055966,0.219885074,3.729936589,1.578293731,3.416768871,4.043104307
aac3_IId,aadA22,0.213362105,0.045892901,0.204255958,0.222468253,1.732258513,0.355318962,1.661755522,1.802761503
aac3_IId,aph3p_IIa,0.213340681,0.051996602,0.203023427,0.223657935,1.730694021,0.421172228,1.647124313,1.814263728
aac3_IId,oqxB,0.212236226,0.037265202,0.204842002,0.219630451,1.742805409,0.265400724,1.690144147,1.79546667
aac3_IId,lnuF,0.203115864,0.051379383,0.192921079,0.213310648,1.642808822,0.397491709,1.563937843,1.721679801
aac3_IId,tetX4,0.201474076,0.070945564,0.187396937,0.215551215,1.635810085,0.576118977,1.521495581,1.750124589
aac3_IId,terB,0.19682498,0.128064469,0.171414211,0.222235749,1.589138212,1.046861958,1.381418088,1.796858336
aac3_IId,cmlA,0.196805968,0.042685189,0.1883363,0.205275635,1.61187067,0.336325488,1.545136396,1.678604943
aac3_IId,aph3p_VI,0.192001653,0.205521258,0.151221777,0.232781529,1.525682542,1.622264205,1.203790129,1.847574956
aac3_IId,bleO,0.186549861,0.031624976,0.18027478,0.192824942,1.516784732,0.252937915,1.466596362,1.566973102
aac3_IId,catA1,0.183001426,0.025204417,0.178000322,0.188002529,1.516726581,0.212582154,1.47454567,1.558907493
aac3_IId,terE,0.182832448,0.097257958,0.163534359,0.202130537,1.473562934,0.782663869,1.318265442,1.628860425
aac3_IId,aph4_Ia,0.182286584,0.037626018,0.174820766,0.189752402,1.471761855,0.294358994,1.413354645,1.530169066
aac3_IId,catA2,0.181386099,0.089548579,0.163617718,0.19915448,1.469190609,0.741247761,1.322110972,1.616270246
aac3_IId,terC,0.179876237,0.094696528,0.161086391,0.198666082,1.446031654,0.771548706,1.292939652,1.599123656
aac3_IId,oqxA2,0.177920393,0.080379592,0.161971338,0.193869448,1.431221439,0.651072768,1.302034477,1.560408401
aac3_IId,blaCTX_M_27,0.177265536,0.020951683,0.173108267,0.181422804,1.534217138,0.173382947,1.4998142,1.568620077
aac3_IId,pcoE,0.176091488,0.030557416,0.170028234,0.182154743,1.431719579,0.242736465,1.383555398,1.47988376
aac3_IId,tetB,0.17539676,0.020092049,0.171410062,0.179383459,1.491527031,0.153550033,1.461059373,1.521994689
aac3_IId,aac3_IVa,0.173698237,0.03253378,0.167242829,0.180153644,1.402835709,0.26268912,1.350712489,1.45495893
aac3_IId,silA,0.173506338,0.026811689,0.168186317,0.178826359,1.420306097,0.204643002,1.379700485,1.460911708
aac3_IId,dfrA23,0.173355562,0.066363227,0.160187658,0.186523466,1.410946473,0.557405717,1.300345086,1.52154786
aac3_IId,aac6p_Ib_cr5,0.169776107,0.023431961,0.165126697,0.174425516,1.399587189,0.186341778,1.362612937,1.43656144
aac3_IId,silP,0.16976673,0.02677624,0.164453743,0.175079717,1.381372545,0.21549589,1.338613485,1.424131605
aac3_IId,aac6p_Ib_cr,0.169621442,0.024874604,0.164685781,0.174557103,1.408442664,0.192380254,1.370270248,1.446615081
aac3_IId,pcoB,0.168474184,0.023655895,0.163780341,0.173168027,1.372564438,0.193143296,1.334240618,1.410888259
aac3_IId,silE,0.168173717,0.025007826,0.163211622,0.173135812,1.370663562,0.196718177,1.331630408,1.409696716
aac3_IId,silF,0.168136493,0.026124523,0.16295282,0.173320165,1.369080867,0.191990677,1.330985752,1.407175983
aac3_IId,pcoA,0.167652359,0.023211125,0.163046768,0.17225795,1.360582641,0.185023874,1.32386989,1.397295392
aac3_IId,pcoC,0.167458229,0.024924841,0.1625126,0.172403858,1.365665022,0.187078706,1.328544548,1.402785496
aac3_IId,silC,0.167155406,0.02604687,0.161987142,0.17232367,1.361560743,0.218021203,1.318300606,1.40482088
aac3_IId,pcoR,0.166708515,0.027121255,0.16132707,0.172089961,1.353699678,0.218664689,1.310311859,1.397087496
aac3_IId,silS,0.165918453,0.023252922,0.161304568,0.170532337,1.34958761,0.187152912,1.312452412,1.386722808
aac3_IId,silB,0.164760955,0.025898701,0.159622091,0.16989982,1.345129731,0.192959221,1.306842435,1.383417027
aac3_IId,blaCTX_M_65,0.164510447,0.0453442,0.155513174,0.17350772,1.328098023,0.347094295,1.259226985,1.396969062
aac3_IId,pcoD,0.164298898,0.023669538,0.159602348,0.168995448,1.338616393,0.203588556,1.298220007,1.37901278
