Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
aac3_Ia,aph3p_VIb,0.770210633,0.177140282,0.735062158,0.805359108,3.82967422,0.932078411,3.644729642,4.014618798
aac3_Ia,aacA16,0.736595735,0.10255034,0.716247523,0.756943948,3.829135742,0.61721549,3.706666798,3.951604686
aac3_Ia,merP,0.718144955,0.105960685,0.697120056,0.739169853,3.648562993,0.579605788,3.53355663,3.763569356
aac3_Ia,sat2,0.645227293,0.090549114,0.627260384,0.663194201,3.21229454,0.493118049,3.114449221,3.31013986
aac3_Ia,aadA1,0.57515123,0.034409918,0.568323556,0.581978904,22.57703177,7.502065337,21.08845925,24.06560429
aac3_Ia,dfrA1,0.563680945,0.081027449,0.547603341,0.579758549,2.843615363,0.420417513,2.760195408,2.927035319
aac3_Ia,tetA,0.532116314,0.055691798,0.521065853,0.543166775,2.70102942,0.294735818,2.64254744,2.759511401
aac3_Ia,aadA2,0.528561906,0.047168902,0.519202573,0.53792124,2.690889404,0.230848235,2.645084106,2.736694702
aac3_Ia,catA1,0.505281155,0.046712159,0.496012449,0.514549861,2.592234384,0.247103385,2.543203712,2.641265057
aac3_Ia,blaPER_1,0.496240185,0.099606974,0.476476,0.51600437,2.483251058,0.529911027,2.378105214,2.588396902
aac3_Ia,merE,0.494132531,0.046616783,0.48488275,0.503382312,2.521414685,0.251726032,2.471466779,2.571362591
aac3_Ia,qacE,0.48787754,0.031615092,0.48160442,0.49415066,11.90087058,2.613757364,11.38224441,12.41949674
aac3_Ia,qacEdelta1,0.483603622,0.032604349,0.477134212,0.490073033,10.09078647,1.849987718,9.723708775,10.45786417
aac3_Ia,sul1,0.481754211,0.031424515,0.475518906,0.487989517,11.5414164,2.417407932,11.06175022,12.02108258
aac3_Ia,blaPER,0.444824507,0.072834527,0.430372556,0.459276457,2.233752325,0.390051179,2.156357709,2.311146941
