Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
aac3_IIe,tetA,0.756616477,0.117504359,0.733301063,0.779931892,541.4743682,486.1495658,445.0117472,637.9369891
aac3_IIe,blaCTX_M,0.676043683,0.118156892,0.652598792,0.699488574,421.6379591,330.7961953,356.0008173,487.275101
aac3_IIe,blaOXA,0.62896821,0.114669194,0.606215354,0.651721066,1499.807977,1045.535432,1292.351064,1707.26489
aac3_IIe,qnrB1,0.553215033,0.125137932,0.528384952,0.578045114,182.346311,128.9155008,156.7666788,207.9259432
aac3_IIe,aac6p_Ib,0.494125684,0.104333296,0.473423695,0.514827674,705.1245078,347.2919908,636.2142422,774.0347733
aac3_IIe,qnrB,0.47756775,0.128851074,0.452000901,0.503134598,113.5825404,60.08634107,101.6601068,125.5049741
aac3_IIe,dfrA1,0.361888119,0.109777613,0.340105858,0.383670379,120.1332341,49.16560976,110.3777104,129.8887577
aac3_IIe,aadA1,0.27809473,0.075624408,0.263089206,0.293100253,29.61710938,16.61713048,26.31991018,32.91430857
aac3_IIe,sul2,0.272947929,0.099176033,0.253269252,0.292626605,18.35158199,10.34520619,16.29886865,20.40429534
aac3_IIe,blaTEM_1,0.249368256,0.099527405,0.22961986,0.269116652,15.87612824,6.443220341,14.59765354,17.15460294
aac3_IIe,blaTEM,0.223485773,0.09324945,0.204983059,0.241988487,14.0756105,5.982481668,12.88855635,15.26266466
aac3_IIe,aph3pp_Ib,0.190612902,0.075175565,0.175696439,0.205529365,12.93498428,5.811880257,11.78178115,14.08818742
aac3_IIe,aph6_Id,0.189367932,0.07696824,0.174095764,0.204640101,13.104018,6.272253125,11.8594669,14.3485691
aac3_IIe,qacEdelta1,0.154746682,0.047459528,0.145329682,0.164163682,11.21219354,4.336139178,10.35180945,12.07257762
aac3_IIe,aac6p_IIc,0.135800774,0.04461942,0.126947313,0.144654235,8.001598524,2.747380057,7.456458716,8.546738332
aac3_IIe,qacE,0.117349379,0.041773145,0.109060681,0.125638077,7.0724254,2.427649922,6.590726988,7.554123813
aac3_IIe,floR,0.115521177,0.055973848,0.104414751,0.126627602,6.631459069,3.216219019,5.993291439,7.269626699
aac3_IIe,blaACT_16,0.083213161,0.028984148,0.077462077,0.088964245,4.982522634,1.751385145,4.635009825,5.330035444
aac3_IIe,qnrB19,0.071137563,0.055409733,0.06014307,0.082132057,3.812987392,3.136276264,3.190682139,4.435292644
