Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
aac6p_Ie_aph2pp_Ia,bleO,0.085,0.016,0.044,0.126,13.005,0.655,11.379,14.631
aac6p_Ie_aph2pp_Ia,aadD1,0.083,0.015,0.047,0.119,12.818,0.669,11.157,14.480
aac6p_Ie_aph2pp_Ia,blaPC1,0.017,0.006,0.003,0.031,12.584,3.134,4.798,20.369
aac6p_Ie_aph2pp_Ia,gyrA_S83I,0.425,0.064,0.266,0.585,7.996,1.937,3.184,12.809
aac6p_Ie_aph2pp_Ia,dfrF,0.162,0.034,0.078,0.247,6.960,1.555,3.097,10.823
aac6p_Ie_aph2pp_Ia,dfrS1,0.100,0.012,0.070,0.129,6.934,0.836,4.856,9.011
aac6p_Ie_aph2pp_Ia,parC_S80I,0.469,0.069,0.297,0.642,6.639,1.735,2.329,10.948
aac6p_Ie_aph2pp_Ia,ant6_Ia,0.725,0.043,0.619,0.831,5.681,1.106,2.932,8.429
aac6p_Ie_aph2pp_Ia,aph3p_IIIa,0.730,0.060,0.582,0.878,5.655,1.010,3.144,8.165
aac6p_Ie_aph2pp_Ia,sat4,0.439,0.026,0.375,0.504,5.472,0.952,3.107,7.837
aac6p_Ie_aph2pp_Ia,qacC,0.021,0.003,0.013,0.029,4.804,1.759,0.435,9.173
aac6p_Ie_aph2pp_Ia,gyrA_S83Y,0.023,0.005,0.012,0.034,4.725,2.369,-1.161,10.611
aac6p_Ie_aph2pp_Ia,str,0.450,0.022,0.396,0.504,4.428,0.832,2.361,6.494
aac6p_Ie_aph2pp_Ia,lsaE,0.101,0.011,0.075,0.128,4.297,0.140,3.949,4.645
aac6p_Ie_aph2pp_Ia,spw,0.123,0.013,0.092,0.155,4.208,0.352,3.334,5.081
aac6p_Ie_aph2pp_Ia,lnuB,0.101,0.012,0.070,0.132,4.153,0.271,3.479,4.828
aac6p_Ie_aph2pp_Ia,vanB,0.089,0.016,0.050,0.128,3.406,1.021,0.870,5.943
aac6p_Ie_aph2pp_Ia,vanH_B,0.088,0.015,0.050,0.127,3.397,1.020,0.864,5.930
aac6p_Ie_aph2pp_Ia,vanW_B,0.088,0.015,0.050,0.126,3.390,1.019,0.860,5.921
aac6p_Ie_aph2pp_Ia,vanY_B,0.088,0.015,0.050,0.126,3.390,1.019,0.860,5.921
aac6p_Ie_aph2pp_Ia,vanS_B,0.088,0.015,0.050,0.127,3.390,1.019,0.859,5.920
aac6p_Ie_aph2pp_Ia,vanR_B,0.088,0.015,0.050,0.127,3.390,1.019,0.859,5.920
aac6p_Ie_aph2pp_Ia,vanX_B,0.088,0.015,0.050,0.125,3.372,1.025,0.825,5.920
aac6p_Ie_aph2pp_Ia,catA,0.189,0.023,0.132,0.246,2.822,0.413,1.797,3.848
aac6p_Ie_aph2pp_Ia,merA,0.020,0.009,-0.002,0.043,2.565,0.673,0.893,4.237
aac6p_Ie_aph2pp_Ia,ermB,0.929,0.008,0.910,0.948,2.257,0.083,2.052,2.462
aac6p_Ie_aph2pp_Ia,dfrG,0.154,0.017,0.113,0.195,2.210,0.230,1.639,2.780
aac6p_Ie_aph2pp_Ia,lnuG,0.016,0.002,0.011,0.021,1.868,0.170,1.445,2.291
aac6p_Ie_aph2pp_Ia,ant9_Ia,0.010,0.002,0.004,0.016,1.853,0.270,1.183,2.523
aac6p_Ie_aph2pp_Ia,fexA,0.045,0.006,0.031,0.058,1.759,0.182,1.308,2.210
aac6p_Ie_aph2pp_Ia,optrA,0.045,0.005,0.033,0.056,1.705,0.167,1.290,2.120
aac6p_Ie_aph2pp_Ia,vanS_A,0.224,0.031,0.146,0.301,1.587,0.184,1.130,2.044
aac6p_Ie_aph2pp_Ia,vanR_A,0.226,0.032,0.147,0.306,1.585,0.186,1.124,2.047
aac6p_Ie_aph2pp_Ia,vanY_A,0.224,0.032,0.146,0.303,1.578,0.180,1.131,2.024
