Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
tetO_W_32_O,fexB,0.710677682,0.175014806,0.675950948,0.745404417,2249.074161,1689.266128,1913.887113,2584.26121
vanS_B,vanX_B,0.85608934,0.067465394,0.842702742,0.869475938,2217.049649,1713.188253,1877.115932,2556.983366
vanR_B,vanX_B,0.847872529,0.063761337,0.835220896,0.860524162,2056.896922,1270.03402,1804.894619,2308.899226
vanH_B,vanX_B,0.820601599,0.074779301,0.805763764,0.835439435,1945.276906,1496.641185,1648.310825,2242.242987
arsD2,arsD,0.801357351,0.065666021,0.788327788,0.814386914,1854.145278,1481.647117,1560.154346,2148.136211
sat4,str,0.831676581,0.033907899,0.824948518,0.838404644,1784.635694,1543.811458,1478.310008,2090.961381
arsR,arsD,0.987629283,0.007083339,0.986223795,0.989034771,1656.610562,1401.264227,1378.569339,1934.651786
arsB,arsA,0.958719671,0.034372553,0.95189941,0.965539931,1503.501896,1119.056489,1281.45681,1725.546981
vanY_B,vanW_B,0.88090555,0.059150955,0.869168717,0.892642383,1098.016867,991.471603,901.2873905,1294.746343
vanR_B,vanW_B,0.878934756,0.055985019,0.867826113,0.890043398,1065.506252,618.1306663,942.8557171,1188.156786
vanS_D,vanX_D,0.855992567,0.058359787,0.844412719,0.867572415,1021.274258,538.2957586,914.4647008,1128.083815
vanH_B,vanR_B,0.880448584,0.055721818,0.869392166,0.891505001,1017.948984,431.9430846,932.2421049,1103.655863
vanH_B,vanY_B,0.87567246,0.070055792,0.861771871,0.889573049,985.6472705,884.1536816,810.2119983,1161.082543
vanS_D,vanR_D,0.839582009,0.076853635,0.824332581,0.854831438,952.8742172,508.4504424,851.9866185,1053.761816
vanX_D,vanR_D,0.843650199,0.111478281,0.82153049,0.865769909,945.8221124,700.7546062,806.7771956,1084.867029
vanS_B,vanW_B,0.875090154,0.062007315,0.862786557,0.88739375,917.7228246,438.6777393,830.679644,1004.766005
vanB,vanR_B,0.877201302,0.064842611,0.864335121,0.890067482,902.3477023,419.9703873,819.0164661,985.6789384
vanB,vanS_B,0.88397211,0.052893157,0.87347696,0.89446726,896.4653248,349.4674752,827.123396,965.8072536
vanR_B,vanY_B,0.886994562,0.056096394,0.87586382,0.898125304,885.0521472,592.345279,767.5179928,1002.586302
vanR_B,vanS_B,0.887158428,0.054620194,0.876320597,0.89799626,874.7736526,848.5075367,706.4113488,1043.135956
vanH_B,vanW_B,0.857781269,0.062270484,0.845425454,0.870137084,859.3063924,337.0298845,792.4323514,926.1804334
vanB,vanY_B,0.880789216,0.058236735,0.869233784,0.892344648,858.483396,352.6052505,788.5188645,928.4479275
vanS_B,vanR_B,0.88978692,0.057466841,0.878384252,0.901189588,852.7367651,351.6569284,782.9604013,922.513129
vanX_D,vanS_D,0.877738514,0.086370425,0.860600748,0.894876281,848.9985507,531.5725674,743.5230208,954.4740806
vanB,vanW_B,0.857849082,0.071682029,0.843625812,0.872072351,844.7707972,357.8044403,773.7746336,915.7669607
vanH_B,vanS_B,0.871618925,0.06334032,0.859050831,0.884187019,832.8036238,315.1529903,770.2704332,895.3368144
vanY_B,vanR_B,0.892738005,0.049247302,0.882966272,0.902509738,819.0964913,308.702499,757.8432182,880.3497645
vanR_D,vanX_D,0.873429614,0.047240559,0.864056062,0.882803165,816.304764,400.7292992,736.7913772,895.8181509
vanH_D,vanR_D,0.868381807,0.058200336,0.856833598,0.879930016,813.3610174,327.5408926,748.3697983,878.3522366
vanS_B,vanH_B,0.898663988,0.058915811,0.886973813,0.910354163,809.7918159,885.2285461,634.1432672,985.4403647
vanY_B,vanS_B,0.897753126,0.055903394,0.886660679,0.908845572,802.7715397,446.2800647,714.2198928,891.3231867
vanX_D,vanH_D,0.836933817,0.106993281,0.815704029,0.858163605,796.0218282,429.269609,710.8454247,881.1982317
vanS_B,vanB,0.896617242,0.052863305,0.886128015,0.907106469,792.7442076,339.7524279,725.3299549,860.1584603
vanR_B,vanB,0.902784217,0.051469191,0.892571613,0.912996821,792.1330346,285.725184,735.4389592,848.82711
vanH_B,vanB,0.864552275,0.065336831,0.85158803,0.87751652,792.0758807,480.3020444,696.7735349,887.3782265
vanS_D,vanD,0.816756567,0.089370979,0.799023426,0.834489708,790.1175481,793.7584868,632.6186436,947.6164526
vanX_D,vanD,0.832804366,0.096627923,0.81363129,0.851977442,787.7324009,410.380381,706.3040301,869.1607718
vanS_B,vanY_B,0.894809235,0.054553415,0.883984653,0.905633816,784.1144171,273.4301056,729.859952,838.3688822
vanY_B,vanB,0.891334509,0.061974771,0.87903737,0.903631648,781.4212573,389.4803407,704.1399079,858.7026067
