Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
aac3_IId,mphA,0.702451246,0.145779044,0.673525521,0.731376971,22.93503541,5.812196036,21.78176962,24.0883012
aac3_IId,merR,0.341984323,0.079020599,0.326304922,0.357663724,10.94436968,3.058223244,10.33755184,11.55118752
aac3_IId,merT,0.341480391,0.078109411,0.325981789,0.356978992,10.79567397,3.047325168,10.19101854,11.4003294
aac3_IId,merP,0.338175269,0.079872012,0.322326929,0.354023609,10.71545056,3.149159425,10.09058901,11.34031211
aac3_IId,aph3p_Ia,0.32684574,0.104897117,0.306031876,0.347659604,9.596130298,3.343745449,8.932658658,10.25960194
aac3_IId,catA1,0.323695678,0.100691083,0.303716382,0.343674973,9.3260974,3.009460953,8.728955056,9.923239744
aac3_IId,merC,0.323674831,0.07311628,0.309166975,0.338182688,9.973819262,2.698146069,9.438448545,10.50918998
aac3_IId,tetD,0.31577072,0.158798804,0.284261592,0.347279848,8.659979157,4.372061575,7.792467288,9.527491026
aac3_IId,qnrS1,0.311628738,0.155648085,0.280744781,0.342512694,8.435783726,4.121702516,7.617948526,9.253618927
aac3_IId,qnrS,0.227144096,0.127724225,0.201800839,0.252487353,6.156639725,3.405230928,5.480968032,6.832311418
aac3_IId,dfrA12,0.214587903,0.085090109,0.19770418,0.231471627,6.229303851,2.540218512,5.725269388,6.733338314
aac3_IId,blaTEM_1,0.186537353,0.037721488,0.179052591,0.194022115,5.527613881,1.397074893,5.250403913,5.80482385
aac3_IId,blaTEM,0.184980834,0.042454563,0.176556928,0.193404741,5.626612209,1.445632153,5.339767426,5.913456991
aac3_IId,sul2,0.176862509,0.034756337,0.169966097,0.18375892,5.244524511,1.27777405,4.990986418,5.498062604
aac3_IId,aph3pp_Ib,0.166165895,0.033348899,0.15954875,0.172783041,4.841843796,1.151828948,4.613295943,5.070391648
aac3_IId,dfrA14,0.165425419,0.039649876,0.157558024,0.173292815,5.0215373,1.42711557,4.738366609,5.30470799
aac3_IId,sat2,0.164696366,0.04880983,0.155011437,0.174381295,4.762786818,1.58969391,4.447357058,5.078216578
aac3_IId,aph6_Id,0.164651302,0.037799186,0.157151123,0.17215148,4.799688635,1.257201443,4.550232593,5.049144676
aac3_IId,dfrA1,0.157839446,0.036770057,0.150543469,0.165135423,5.307180313,1.725136634,4.964875777,5.649484848
aac3_IId,qnrB1,0.157431468,0.035630465,0.150361611,0.164501326,4.535483495,1.141843814,4.30891691,4.76205008
aac3_IId,aadA1,0.149436358,0.053559495,0.138808992,0.160063724,4.063616413,1.521759558,3.761666301,4.365566524
aac3_IId,blaSHV_5,0.132814562,0.103292622,0.112319064,0.153310059,3.554059313,2.688922468,3.020518759,4.087599868
aac3_IId,qnrB,0.124280744,0.026104038,0.119101136,0.129460351,3.560095049,0.8035598,3.400651351,3.719538747
aac3_IId,merD,0.12187386,0.056577693,0.110647618,0.133100102,3.30816707,1.559195631,2.99878883,3.61754531
aac3_IId,blaSHV_28,0.112388105,0.021211472,0.108179289,0.116596921,5.499415623,1.917727683,5.118896845,5.879934401
aac3_IId,tetB,0.111833751,0.076017089,0.096750312,0.126917191,2.96136082,1.946013533,2.575229516,3.347492124
aac3_IId,ble,0.108273021,0.055175394,0.097325026,0.119221017,2.890520305,1.426688622,2.60743433,3.17360628
aac3_IId,rmtB,0.101975018,0.054451725,0.091170614,0.112779422,2.76187923,1.57282393,2.449796839,3.07396162
aac3_IId,aac3_IIe,0.099802031,0.031585163,0.093534849,0.106069213,2.734921799,0.845996377,2.567057764,2.902785835
aac3_IId,blaCTX_M_2,0.095717207,0.086315663,0.078590306,0.112844107,2.539951285,2.256622819,2.09218836,2.98771421
aac3_IId,rmtB1,0.093056061,0.056897168,0.081766428,0.104345694,2.532635006,1.605184547,2.214131568,2.851138445
aac3_IId,floR,0.092890132,0.038196188,0.085311179,0.100469084,2.514498806,1.071859065,2.301818713,2.727178899
aac3_IId,merA,0.074960202,0.049572106,0.065124021,0.084796383,1.984412915,1.281484152,1.730138657,2.238687173
aac3_IId,blaSHV_32,0.071065806,0.033820768,0.064355031,0.07777658,1.876237088,0.88326355,1.700978438,2.051495739
aac3_IId,aac3_IVa,0.069783384,0.03155368,0.06352245,0.076044319,1.867236824,0.900516509,1.688554812,2.045918836
aac3_IId,aph4_Ia,0.066576478,0.029031054,0.060816087,0.072336869,1.796155994,0.787436484,1.639911513,1.952400476
aac3_IId,blaKPC_3,0.063503241,0.049396739,0.053701856,0.073304625,1.682820423,1.335855302,1.417757749,1.947883096
aac3_IId,tetA,0.0626363,0.017837465,0.05909696,0.066175641,1.689033644,0.479364726,1.593917282,1.784150005
aac3_IId,arsC,0.060126875,0.021134888,0.055933255,0.064320495,1.627051587,0.561583559,1.515621226,1.738481949
aac3_IId,blaSHV_25,0.057098309,0.027235585,0.051694179,0.06250244,1.508298744,0.693883344,1.370617234,1.645980253
aac3_IId,aac6p_Ib_cr5,0.056398467,0.014353616,0.053550398,0.059246536,1.532529507,0.339130898,1.46523858,1.599820435
aac3_IId,oqxB17,0.056132051,0.049331336,0.046343644,0.065920458,1.476744123,1.31135592,1.216542658,1.736945587
aac3_IId,aac6p_Ib_cr,0.054830974,0.014062592,0.052040651,0.057621297,1.487210928,0.376057017,1.412593057,1.561828799
aac3_IId,catB,0.054607357,0.011453274,0.052334778,0.056879935,1.486865346,0.29813568,1.427708759,1.546021934
aac3_IId,rmtF1,0.054117843,0.045357601,0.045117911,0.063117775,1.448112763,1.228424607,1.20436667,1.691858856
aac3_IId,aac6p_Ib,0.054044516,0.012030431,0.051657417,0.056431614,1.483970338,0.312136413,1.422035702,1.545904974
