Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
aac3_Id,cmlA6,0.934930482,0.047977854,0.925410635,0.944450329,119.6359579,45.31845537,110.6437932,128.6281227
aac3_Id,dfrB5,0.675420394,0.105666298,0.654453908,0.69638688,1354.876359,1163.172384,1124.077723,1585.674996
aac3_Id,sul2,0.667103526,0.105958421,0.646079076,0.688127976,56.68195902,23.88977958,51.94170846,61.42220958
aac3_Id,qacF,0.64900921,0.214175046,0.606512234,0.691506185,61.97004636,35.64650719,54.89700598,69.04308675
aac3_Id,blaVIM_2,0.379004946,0.100554168,0.359052817,0.398957074,94.86832206,239.1375702,47.41824002,142.3184041
aac3_Id,blaVIM,0.277166971,0.077754465,0.261738798,0.292595144,58.87767061,88.19703294,41.37746583,76.3778754
aac3_Id,blaTEM_1,0.276620038,0.110641497,0.254666364,0.298573711,19.55641718,9.28128037,17.7148098,21.39802457
aac3_Id,aac6p_Il,0.23710001,0.061753848,0.224846707,0.249353313,285.1441803,315.2251219,222.5966773,347.6916834
aac3_Id,qnrVC1,0.212483721,0.044720748,0.203610154,0.221357288,19.46233406,8.190250802,17.83721061,21.08745751
aac3_Id,merB,0.2117435,0.076776749,0.196509327,0.226977673,16.86638653,8.475095608,15.18474369,18.54802937
aac3_Id,aadA11,0.19954263,0.060363915,0.18756512,0.21152014,15.876596,5.667606929,14.75201983,17.00117217
aac3_Id,cmlA,0.187143519,0.069129633,0.1734267,0.200860338,22.41453218,9.612192501,20.50726465,24.32179971
aac3_Id,aadA2,0.185386709,0.061117755,0.173259621,0.197513798,22.75989217,9.05389151,20.96340367,24.55638067
aac3_Id,cmlA1,0.176273336,0.074145901,0.161561181,0.190985492,13.19862101,4.614138918,12.28307575,14.11416628
aac3_Id,ant4p_IIb,0.162018589,0.075793954,0.146979424,0.177057753,11.50759929,8.447528118,9.831426437,13.18377214
aac3_Id,dfrA1,0.161745858,0.063837451,0.149079123,0.174412594,12.61111182,4.161540221,11.78537195,13.43685168
aac3_Id,aph3p_Ia,0.147394207,0.061879262,0.135116019,0.159672396,10.46681504,3.843636014,9.704154266,11.22947581
aac3_Id,tetC,0.13380411,0.059984295,0.121901924,0.145706295,9.415747992,3.640547937,8.693384299,10.13811169
aac3_Id,blaPDC_142,0.132646072,0.057239739,0.121288466,0.144003678,9.509732421,3.68666991,8.778217128,10.24124771
aac3_Id,blaOXA_937,0.121813652,0.051046917,0.111684836,0.131942468,8.769880558,4.112909325,7.953790118,9.585970999
aac3_Id,msrE,0.113198564,0.044795166,0.104310231,0.122086896,8.493318533,4.738212765,7.553154324,9.433482742
aac3_Id,blaNDM,0.107864322,0.031889293,0.101536795,0.11419185,8.183672467,2.955852238,7.597167255,8.770177678
aac3_Id,arr_2,0.107709006,0.056605538,0.09647724,0.118940773,7.698549621,4.639066073,6.778058267,8.619040976
aac3_Id,blaNDM_1,0.104995727,0.034443944,0.098161301,0.111830153,8.044542162,3.258244816,7.398035702,8.691048621
aac3_Id,blaPDC_14,0.09929204,0.039834361,0.091388038,0.107196041,6.913223834,2.275227308,6.461769375,7.364678294
aac3_Id,qacG2,0.098212085,0.051937649,0.087906528,0.108517641,6.432091426,3.608141011,5.71615797,7.148024882
aac3_Id,blaPDC_19a,0.083985486,0.025649964,0.078895977,0.089074996,6.829630957,2.809936695,6.272078555,7.387183359
aac3_Id,aadA1,0.079995357,0.017841327,0.076455251,0.083535463,9.055776794,3.145365834,8.431667973,9.679885614
aac3_Id,floR,0.077078612,0.019823676,0.073145165,0.08101206,7.080163736,2.222671947,6.6391374,7.521190071
aac3_Id,blaOXA_486,0.074576705,0.023547791,0.069904313,0.079249098,9.19991855,3.633156828,8.479021413,9.920815686
aac3_Id,ble,0.072494059,0.029460167,0.066648523,0.078339596,5.215467037,2.546668948,4.710152667,5.720781406
aac3_Id,aac6p,0.072008413,0.018022785,0.068432302,0.075584525,118.2714311,107.5848522,96.92426234,139.6185998
aac3_Id,tetA,0.066695649,0.020373233,0.062653158,0.070738141,4.634650524,1.414258038,4.354031046,4.915270001
aac3_Id,blaVEB_9,0.065941928,0.021669113,0.061642306,0.07024155,4.564419711,1.60259925,4.246429251,4.882410171
aac3_Id,blaVEB,0.065665749,0.021417396,0.061416073,0.069915425,4.582785898,1.402819273,4.30443612,4.861135676
aac3_Id,dfrB2,0.063657639,0.022677454,0.05915794,0.068157338,4.343623419,1.473234762,4.05130168,4.635945158
aac3_Id,aph3p_VI,0.062174756,0.021038605,0.05800024,0.066349271,4.301341147,1.499269619,4.003853528,4.598828767
aac3_Id,qacEdelta1,0.060978797,0.01430351,0.05814067,0.063816923,29.58798927,11.2874784,27.34830867,31.82766986
aac3_Id,sul1,0.05942213,0.014344272,0.056575915,0.062268345,50.38689511,19.62950833,46.49197479,54.28181543
aac3_Id,qacE,0.058620631,0.01380472,0.055881475,0.061359787,27.04099289,9.104665698,25.23442969,28.84755609
aac3_Id,tetG,0.058500385,0.018221229,0.054884897,0.062115872,4.490089788,0.99396332,4.292865901,4.687313675
aac3_Id,blaPDC_30,0.056731127,0.046302625,0.047543682,0.065918572,3.866063384,3.310939074,3.209101241,4.523025528
aac3_Id,blaCARB_2,0.055574382,0.017254482,0.052150719,0.058998046,3.891086125,0.999469731,3.692769647,4.089402603
aac3_Id,blaOXA_846,0.054055359,0.017676323,0.050547993,0.057562725,3.856984496,1.587299571,3.542029824,4.171939167
aac3_Id,blaPDC_11,0.053998957,0.018841969,0.050260302,0.057737613,3.80568696,1.437995651,3.520357425,4.091016495
aac3_Id,ant2pp_Ia,0.053754167,0.013646564,0.051046393,0.056461941,4.386283006,1.02141537,4.183612037,4.588953975
aac3_Id,floR2,0.05305093,0.017235006,0.049631131,0.056470729,3.935775629,0.856221261,3.765882755,4.105668503
aac3_Id,mphE,0.050729089,0.052691915,0.04027387,0.061184308,3.559398839,4.218958285,2.722265984,4.396531694
aac3_Id,aac3_IId,0.048655115,0.022370539,0.044216315,0.053093915,3.293899372,1.718314109,2.952948574,3.634850171
aac3_Id,aadA7,0.04798823,0.026609477,0.042708332,0.053268127,3.25963336,2.167816524,2.829491531,3.68977519
aac3_Id,blaOXA_1035,0.047766334,0.017187878,0.044355886,0.051176781,3.241902585,1.168082906,3.010129595,3.473675576
aac3_Id,blaGES,0.047668452,0.013644116,0.044961164,0.050375741,3.401366299,1.327638045,3.137934107,3.66479849
aac3_Id,parC_S87L,0.047563347,0.012479217,0.0450872,0.050039495,9.278379967,2.780698367,8.726629083,9.83013085
aac3_Id,blaPDC_24,0.046261008,0.024093034,0.041480427,0.051041589,2.966146563,1.349454441,2.698385525,3.233907601
aac3_Id,aph3p_XV,0.045270934,0.023658024,0.040576668,0.049965199,3.015548078,1.65941683,2.686283777,3.344812378
aac3_Id,arr_3,0.045195337,0.038906753,0.037475393,0.052915281,2.865974491,2.435980343,2.382623141,3.34932584
aac3_Id,blaGES_20,0.04459346,0.028360429,0.038966136,0.050220784,2.892481449,1.748984365,2.545445006,3.239517891
aac3_Id,blaPDC_31,0.044267069,0.017195573,0.040855094,0.047679043,3.011861706,1.205773747,2.772610035,3.251113377
aac3_Id,blaGES_1,0.044136989,0.018092925,0.04054696,0.047727017,3.027236372,1.389910222,2.751448029,3.303024714
aac3_Id,blaGES_5,0.042150045,0.026082907,0.03697463,0.047325459,2.707535079,1.598613626,2.390335454,3.024734705
aac3_Id,blaGES_19,0.042004321,0.028788197,0.036292118,0.047716524,2.6646392,1.836323675,2.300272743,3.029005656
aac3_Id,blaOXA_10,0.039132877,0.009425981,0.037262557,0.041003196,3.188507783,0.789472459,3.03185932,3.345156247
aac3_Id,blaOXA_1,0.038850789,0.009203471,0.037024621,0.040676957,3.28342188,0.749171907,3.13476992,3.43207384
aac3_Id,aac6p_29b,0.038188193,0.025136684,0.03320053,0.043175857,2.444566485,1.543253027,2.138351603,2.750781367
aac3_Id,aac6p_Ib3,0.038144646,0.019379796,0.034299275,0.041990018,2.557893438,1.463415611,2.267520032,2.848266844
aac3_Id,aph3p_VIa,0.038038558,0.018495623,0.034368625,0.041708491,2.492490137,1.2207873,2.250259451,2.734720822
aac3_Id,merA,0.037643284,0.01006417,0.035646334,0.039640234,5.086949851,1.207075703,4.847439844,5.326459858
aac3_Id,gyrA_T83I,0.03705341,0.008599663,0.03534705,0.038759769,11.35078422,3.405940426,10.67497175,12.0265967
aac3_Id,aac6p_33,0.035885774,0.019295754,0.032057078,0.039714471,2.365727031,1.218302401,2.123989404,2.607464659
aac3_Id,blaIMP_1,0.035717599,0.016734539,0.032397104,0.039038095,2.408877397,1.237615143,2.163307702,2.654447092
aac3_Id,blaOXA_395,0.035094053,0.010374988,0.03303543,0.037152675,2.518091657,0.743267701,2.37061122,2.665572094
aac3_Id,merR,0.03454796,0.009223779,0.032717763,0.036378158,4.768481275,1.142862329,4.541712594,4.995249955
aac3_Id,merT,0.033945561,0.009053926,0.032149066,0.035742057,4.655408883,1.078775753,4.441356369,4.869461396
aac3_Id,merE,0.033607241,0.009080549,0.031805463,0.035409019,3.950666291,0.887400763,3.774586728,4.126745855
aac3_Id,blaPDC_35,0.033361962,0.012661865,0.030849573,0.035874351,2.207283717,0.871955002,2.034268928,2.380298507
aac3_Id,merP,0.033333935,0.008814072,0.031585032,0.035082838,4.572247295,1.129160707,4.348197313,4.796297277
aac3_Id,merD,0.032360898,0.008888048,0.030597317,0.03412448,3.860167934,0.93201168,3.675236596,4.045099271
aac3_Id,aadA6,0.032308167,0.014960731,0.029339633,0.0352767,2.107477259,0.851023937,1.938615647,2.276338871
aac3_Id,aac6p_29a,0.031909656,0.018475781,0.02824366,0.035575651,2.001189758,1.11308608,1.780329331,2.222050185
aac3_Id,blaIMP,0.031794902,0.013885586,0.029039701,0.034550104,2.166918529,0.928475529,1.982688841,2.351148217
aac3_Id,aac6p_Ib4,0.031376426,0.009965479,0.029399058,0.033353793,2.178647098,0.747234118,2.030379637,2.326914558
aac3_Id,aac6p_29,0.030995814,0.017548493,0.027513812,0.034477816,2.077234663,1.275260565,1.8241953,2.330274027
aac3_Id,aac6p_Ibp,0.030367715,0.014628407,0.027465121,0.033270308,1.996567529,0.957781767,1.806522847,2.186612211
aac3_Id,cmx,0.030306521,0.018427926,0.026650021,0.033963021,2.001554753,1.228249939,1.757843318,2.245266188
aac3_Id,aac6p_Ib,0.029873052,0.00990218,0.027908245,0.03183786,2.234636254,0.796404547,2.076612314,2.392660194
aac3_Id,blaOXA_56,0.029473521,0.021816809,0.025144592,0.033802449,1.948737819,1.582525047,1.634730516,2.262745121
aac3_Id,blaOXA_4,0.029291338,0.00895428,0.027514615,0.031068061,3.114179822,0.971766421,2.921360282,3.306999363
aac3_Id,tmexD3,0.029275513,0.029675994,0.023387152,0.035163874,1.947926924,1.985907818,1.553879728,2.34197412
aac3_Id,aac6p_IIc,0.029263441,0.027582195,0.023790535,0.034736347,1.883444566,1.809637227,1.524373279,2.242515852
aac3_Id,blaOXA_848,0.028874042,0.013866521,0.026122623,0.03162546,1.915175366,0.903035197,1.735993591,2.09435714
aac3_Id,blaSPM_1,0.028609324,0.0214124,0.02436064,0.032858009,1.845897912,1.407255046,1.56666798,2.125127843
aac3_Id,cmlB,0.02816698,0.031576864,0.021901445,0.034432514,1.937777468,2.348114326,1.471860643,2.403694293
aac3_Id,blaOXA_9,0.027452511,0.008409091,0.025783965,0.029121057,1.919525923,0.649647502,1.790621764,2.048430082
