Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
aac3_Id,gyrA_D87N,0.130373061,0.027000269,0.125015622,0.1357305,65.89921362,20.25725385,61.87973497,69.91869227
aac3_Id,tetG,0.118696499,0.0348396,0.111783567,0.125609432,15.7650953,4.418884957,14.88829266,16.64189795
aac3_Id,qacEdelta1,0.116959488,0.027789062,0.111445536,0.122473441,117.1737463,76.86469169,101.9221239,132.4253687
aac3_Id,gyrA_S83F,0.114733566,0.023623458,0.110046159,0.119420972,93.73035918,66.62253294,80.51100326,106.9497151
aac3_Id,blaCARB_2,0.114445161,0.032253947,0.108045279,0.120845044,15.57982445,4.353271769,14.71604088,16.44360801
aac3_Id,sul1,0.106471048,0.024481076,0.101613472,0.111328625,80.22421565,47.18165318,70.86235205,89.58607925
aac3_Id,catA1,0.101688923,0.031018934,0.095534093,0.107843752,13.95262284,3.590709906,13.24014809,14.66509758
aac3_Id,dfrA7,0.099906845,0.031539566,0.093648711,0.106164979,12.54576434,3.391034767,11.87290947,13.2186192
aac3_Id,erm42,0.076346644,0.041389597,0.06813405,0.084559238,8.702376696,4.894229666,7.731255349,9.673498043
aac3_Id,aadA1,0.071168516,0.024249534,0.066356882,0.07598015,9.358662562,2.815372199,8.800031638,9.917293486
aac3_Id,tetA,0.067371869,0.017390044,0.063921307,0.070822431,12.23403447,3.271670758,11.58486401,12.88320492
aac3_Id,blaCTX_M_65,0.066455066,0.038279363,0.058859609,0.074050522,7.427473703,3.956981434,6.642322739,8.212624667
aac3_Id,aadA22,0.060277608,0.040538336,0.052233923,0.068321294,6.730797767,4.317010345,5.874209256,7.587386277
aac3_Id,blaOXA,0.052869783,0.020264513,0.048848864,0.056890701,6.249941594,2.413354481,5.771079707,6.728803482
aac3_Id,floR,0.050023077,0.014895971,0.047067393,0.05297876,6.539812398,2.084271946,6.126247625,6.95337717
aac3_Id,blaOXA_1,0.047824012,0.021548466,0.043548329,0.052099695,5.438128367,2.332928582,4.975224723,5.90103201
aac3_Id,qnrS2,0.046533507,0.053051547,0.036006929,0.057060085,4.891092825,5.298759442,3.839703994,5.942481655
aac3_Id,aac3_IVa,0.04608732,0.022357916,0.041651024,0.050523615,5.205746936,2.142491796,4.780630082,5.63086379
aac3_Id,aph4_Ia,0.04562755,0.024014818,0.040862489,0.050392611,5.157941068,2.606732355,4.640708816,5.675173321
aac3_Id,arr,0.045201066,0.019141217,0.041403034,0.048999099,5.174359682,2.031328437,4.77130005,5.577419313
aac3_Id,oqxB,0.044265386,0.028803901,0.038550067,0.049980705,4.933380992,3.009545312,4.33622191,5.530540074
aac3_Id,aadA5,0.042867994,0.031214118,0.036674436,0.049061552,4.661261476,3.530904768,3.960653366,5.361869585
aac3_Id,aac6p_Ib_cr,0.04276397,0.018874548,0.03901885,0.04650909,4.867405549,2.060212463,4.4586147,5.276196398
aac3_Id,aac6p_Ib_cr5,0.0423578,0.020010444,0.038387294,0.046328306,4.867680984,2.384648217,4.394515042,5.340846925
aac3_Id,catB3,0.042218551,0.020221866,0.038206094,0.046231008,4.84970291,2.225345219,4.408146139,5.29125968
aac3_Id,dfrA17,0.041510754,0.032530372,0.035056022,0.047965485,4.448637069,3.415530109,3.770921795,5.126352343
aac3_Id,aadA2,0.04129338,0.015207445,0.038275893,0.044310867,5.199057639,1.888912647,4.82425639,5.573858889
aac3_Id,lnuF,0.041106057,0.028880543,0.035375531,0.046836583,4.670593443,3.543291013,3.967527634,5.373659252
aac3_Id,arr_3,0.040888343,0.017786264,0.037359163,0.044417524,4.671807897,1.916332851,4.291565884,5.05204991
aac3_Id,dfrA12,0.039749571,0.019384816,0.035903203,0.043595939,4.49802716,2.217580127,4.058011152,4.938043168
aac3_Id,oqxA,0.038956622,0.027678873,0.033464533,0.044448711,4.337786799,3.213365131,3.700185443,4.975388156
aac3_Id,dfrA1,0.038427504,0.015046121,0.035442027,0.041412981,4.61491897,1.586793561,4.300064702,4.929773239
aac3_Id,qacL,0.038229053,0.021439098,0.033975071,0.042483035,4.256843726,2.58543984,3.74383637,4.769851082
aac3_Id,arr_2,0.035921913,0.035448029,0.028888255,0.042955571,3.949449759,3.905036335,3.174605829,4.724293688
aac3_Id,blaLAP_2,0.035635963,0.040482751,0.027603307,0.043668619,4.021546937,4.956429568,3.038083781,5.005010094
