Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
catA1,dfrA7,0.992680945,0.002297827,0.992225006,0.993136884,123.4920312,45.46961168,114.4698738,132.5141886
catA1,qacEdelta1,0.992534812,0.002570843,0.992024701,0.993044923,132.2721991,56.38453585,121.0842839,143.4601143
catA1,sul1,0.992235385,0.002281157,0.991782754,0.992688016,133.104673,59.11815805,121.3743478,144.8349981
merR,sul1,0.982529167,0.005183126,0.981500723,0.983557612,124.6317685,94.3347749,105.9137025,143.3498344
merP,qacEdelta1,0.981954628,0.005140336,0.980934674,0.982974583,119.7045497,92.74849375,101.3012364,138.1078631
merC,sul1,0.981917589,0.005424694,0.980841212,0.982993966,120.8241304,90.53101547,102.8608129,138.787448
merC,dfrA7,0.981891698,0.00535511,0.980829128,0.982954268,116.4262237,79.74355235,100.6033728,132.2490745
merR,dfrA7,0.981674618,0.004811604,0.980719892,0.982629345,122.7165986,93.35771205,104.1924031,141.2407941
merP,sul1,0.981599079,0.00496155,0.9806146,0.982583558,120.0443238,94.51821376,101.2898596,138.798788
merT,sul1,0.981589131,0.005624143,0.980473179,0.982705082,120.8045329,90.02190954,102.942233,138.6668328
merC,qacEdelta1,0.981588985,0.005235557,0.980550137,0.982627833,118.0207794,85.14543465,101.1260779,134.9154809
merR,qacEdelta1,0.981511706,0.005670256,0.980386605,0.982636808,121.0626899,89.00082089,103.4029961,138.7223836
merT,qacEdelta1,0.981501779,0.005550475,0.980400444,0.982603114,120.9451308,93.84555593,102.3241366,139.5661251
merP,dfrA7,0.981490749,0.00529338,0.980440428,0.98254107,121.36296,101.8620056,101.1513282,141.5745918
merT,dfrA7,0.981125461,0.005489824,0.980036161,0.982214761,117.6762515,82.03415747,101.3988949,133.9536081
merR,merC,0.980987816,0.005703319,0.979856154,0.982119478,220.2167951,70.36417583,206.255016,234.1785741
merC,merR,0.980980569,0.005317037,0.979925554,0.982035585,225.8140923,84.73732783,209.000368,242.6278165
merP,merT,0.980920566,0.005635246,0.979802411,0.982038721,222.2540992,78.3516326,206.7074355,237.800763
merC,merT,0.980773408,0.005593623,0.979663511,0.981883304,215.1940709,61.8618872,202.9193304,227.4688115
merP,merR,0.980764693,0.005922084,0.979589623,0.981939763,228.0335397,91.07791486,209.9617055,246.105374
merT,merC,0.980651657,0.005957932,0.979469474,0.98183384,229.4170264,79.28973833,213.6842221,245.1498307
merT,merP,0.980565225,0.006022733,0.979370184,0.981760265,216.9601583,72.82312251,202.5104708,231.4098457
merC,merP,0.980409697,0.005374363,0.979343307,0.981476088,221.403648,81.46157295,205.2399046,237.5673914
merR,merP,0.980203057,0.006326575,0.978947727,0.981458387,226.4910187,92.1526101,208.2059416,244.7760958
merT,merR,0.980150026,0.006360861,0.978887893,0.981412159,214.4982451,74.66334775,199.6834171,229.3130731
merP,merC,0.980027187,0.005827623,0.97887086,0.981183513,230.3158694,90.3500902,212.3884513,248.2432874
merR,merT,0.979320067,0.005887509,0.978151857,0.980488276,209.8186725,64.37901512,197.0444792,222.5928658
sul1,qacEdelta1,0.978701167,0.006940059,0.977324109,0.980078225,210.8835166,81.96633997,194.6196165,227.1474167
dfrA7,qacEdelta1,0.978531484,0.006070699,0.977326926,0.979736043,211.0687259,92.40280247,192.7340052,229.4034466
qacEdelta1,sul1,0.978411433,0.006370871,0.977147314,0.979675552,205.1084193,69.94451273,191.2299106,218.9869281
qacEdelta1,dfrA7,0.978359936,0.006004682,0.977168477,0.979551395,207.175325,78.06357534,191.685818,222.6648319
sul1,dfrA7,0.9781333,0.007083779,0.976727724,0.979538875,210.8177137,80.6455201,194.8158929,226.8195345
