Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
tetM,ermB,0.996799372,0.001573626,0.99648713,0.997111613,4.944330246,0.634387396,4.818454024,5.070206469
mefA,msrD,0.993580561,0.00289121,0.993006882,0.99415424,644.770081,312.6307123,582.7373651,706.8027969
msrD,mefA,0.991918481,0.003553904,0.991213309,0.992623652,807.6093818,441.6106706,719.984244,895.2345197
tetM,catA,0.889173815,0.059335581,0.877400349,0.900947282,2.615912527,0.329891208,2.550454954,2.681370099
pbp2b,pbp1a,0.860320732,0.041267748,0.852132316,0.868509149,3.692608038,0.527186554,3.588002788,3.797213287
pbp2b,pbp2x,0.774412912,0.046680313,0.765150525,0.783675298,4.507118293,0.791447556,4.350077927,4.664158659
pbp2b,mefA,0.727230959,0.062408302,0.714847798,0.73961412,2.406083738,0.312241877,2.344128175,2.4680393
pbp2b,msrD,0.725497076,0.061239736,0.713345784,0.737648368,2.40180016,0.30802887,2.340680549,2.46291977
pbp2x,pbp2b,0.694917699,0.04672596,0.685646255,0.704189144,5.768302636,1.462236132,5.478163264,6.058442008
pbp2x,pbp1a,0.682529227,0.050995082,0.672410696,0.692647758,2.876139545,0.39749058,2.79726879,2.955010299
ermB,tetM,0.6174456,0.047386848,0.608043021,0.626848179,516.3795886,226.1618587,471.5041692,561.2550079
ermB,catA,0.563324707,0.104958818,0.542498601,0.584150814,2.723225198,0.634309047,2.597364522,2.849085874
pbp1a,pbp2b,0.525295512,0.0583102,0.513725503,0.536865521,11.07952721,3.969822407,10.29182832,11.8672261
pbp2b,aph3p_IIIa,0.473275174,0.107593867,0.451926216,0.494624131,1.246891548,0.27984068,1.191365086,1.302418011
pbp1a,pbp2x,0.464387502,0.054301263,0.453612954,0.475162051,4.227912815,0.833266573,4.062574649,4.393250981
tetM,pbp1a,0.402343987,0.032411364,0.39591287,0.408775105,1.004131403,0.0306803,0.998043766,1.01021904
tetM,msrD,0.400571248,0.03398994,0.393826906,0.40731559,0.999892385,0.036319666,0.992685775,1.007098995
tetM,pbp2b,0.400455396,0.031803012,0.394144989,0.406765804,0.995944918,0.025028643,0.990978692,1.000911143
tetM,pbp2x,0.399623487,0.033945705,0.392887923,0.406359052,0.998169467,0.027592818,0.992694453,1.003644481
tetM,mefA,0.398390373,0.034371314,0.391570358,0.405210387,0.991805868,0.035096984,0.984841865,0.998769871
mefA,aph3p_IIIa,0.388529344,0.214148357,0.346037664,0.431021024,2.204499496,1.264611494,1.953573139,2.455425852
pbp2b,tetM,0.383197983,0.025707221,0.378097112,0.388298853,1.002319816,0.02677769,0.997006541,1.007633091
pbp2b,ermB,0.382093035,0.026092977,0.376915622,0.387270448,0.996148669,0.031253609,0.989947275,1.002350063
msrD,aph3p_IIIa,0.381247958,0.213842714,0.338816924,0.423678992,2.175388574,1.284253334,1.92056485,2.430212298
