Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
aadE,tet40,0.486003521,0.071631618,0.308060719,0.663946324,543.1132493,89.37608188,321.0907538,765.1357449
gyrB_S416A,gyrB_S366V,0.824337691,0.015133208,0.786744718,0.861930665,372.4608376,51.03215156,245.6899454,499.2317298
ant6_Ia,spw,0.673106973,0.122182309,0.369589291,0.976624655,301.2737457,181.424795,-149.4104293,751.9579207
rpoB_R505K,rpoB_H502N,0.37963608,0.112920078,0.099127057,0.660145104,297.7898194,66.19497552,133.3523844,462.2272544
sat4,aph3p_IIIa,0.826681121,0.079959661,0.628050311,1.025311931,222.7591792,5.330295889,209.5179902,236.0003683
aph3p_IIIa,sat4,0.855952162,0.018039313,0.811140025,0.9007643,218.314283,112.0620596,-60.06330542,496.6918714
cfrB,erm52,0.36443639,0.241413198,-0.235267238,0.964140018,202.3253398,295.6646938,-532.1464761,936.7971556
rpoB_H502N,erm52,0.247296507,0.187120042,-0.217535446,0.71212846,124.6133068,192.4097811,-353.3590866,602.5857002
gyrB_S366V,ant6_Ia,0.282151939,0.025551477,0.218678553,0.345625326,101.5784537,135.5887589,-235.2426955,438.3996029
gyrB_S366V,tet40,0.341665996,0.111210217,0.065404503,0.617927489,99.2081434,16.53234362,58.13952516,140.2767616
dfrF,cfrB,0.345217391,0.152240979,-0.032970166,0.723404949,96.09310541,96.0517045,-142.512556,334.6987668
rpoB_R505K,erm52,0.194204258,0.030886185,0.11747872,0.270929796,93.91779198,51.41001256,-33.79175897,221.6273429
gyrB_S416A,tet40,0.284997543,0.089248743,0.063291374,0.506703711,90.20357554,15.44072192,51.84669593,128.5604551
gyrB_D426V,aph2pp_If,0.526795188,0.184695384,0.06798642,0.985603957,71.72769299,35.96408834,-17.61205512,161.0674411
ant6_Ia,aph3p_IIIa,0.348254647,0.113329645,0.066728203,0.629781091,65.74645007,23.30648698,7.849926826,123.6429733
aph2pp_If,gyrB_D426V,0.557070999,0.23644143,-0.030282073,1.144424071,64.22045961,37.8127683,-29.71166411,158.1525833
gyrB_S416A,ant6_Ia,0.234211922,0.018987084,0.18704539,0.281378454,55.2256904,62.91335162,-101.0597389,211.5111197
spw,ant6_Ia,0.932503015,0.045565947,0.819310929,1.045695102,49.13428365,13.99183723,14.37663314,83.89193416
ant6_Ia,sat4,0.323833883,0.109516278,0.051780368,0.595887398,47.58035947,32.39739857,-32.89924007,128.059959
erm52,cfrB,0.521473452,0.444726879,-0.583289359,1.626236262,44.48422787,36.73643779,-46.77414264,135.7425984
vanR_Cd,vanG,0.983254581,0.002100703,0.978036146,0.988473016,38.62871167,7.162986819,20.83486599,56.42255736
vanR_Cd,vanT_Cd,0.983254581,0.002100703,0.978036146,0.988473016,38.62871167,7.162986819,20.83486599,56.42255736
aac6p_Ie_aph2pp_Ia,dfrF,0.441653064,0.044825756,0.330299714,0.553006414,37.87130508,11.73379437,8.722943984,67.01966617
vanG,vanT_Cd,0.984764603,0.001702751,0.980534735,0.988994471,34.81304975,6.507341823,18.64791652,50.97818298
vanT_Cd,vanG,0.984764603,0.001702751,0.980534735,0.988994471,34.81304975,6.507341823,18.64791652,50.97818298
gyrB_S366A,cfrB,0.137310894,0.079308823,-0.059703144,0.334324933,34.2763006,13.77163156,0.065671293,68.48692991
aac6p_Ie_aph2pp_Ia,cfrB,0.207902371,0.100727134,-0.0423177,0.458122442,34.13533354,23.73122758,-24.81630383,93.08697092
gyrB_S366V,spw,0.185449912,0.03090254,0.108683748,0.262216075,33.99056948,34.71331852,-52.24209415,120.2232331
tet40,aph3p_IIIa,0.270828418,0.027966346,0.201356163,0.340300672,33.77710468,3.021001818,26.27252014,41.28168922
vanR_Cd,vanS_Cd,0.974211911,0.006663147,0.957659736,0.990764087,33.50578175,5.681539696,19.39205473,47.61950877
vanG,vanR_Cd,0.986329231,0.00218871,0.980892175,0.991766288,31.77355011,6.595627998,15.38910187,48.15799835
vanT_Cd,vanR_Cd,0.986329231,0.00218871,0.980892175,0.991766288,31.77355011,6.595627998,15.38910187,48.15799835
vanG,vanS_Cd,0.975684008,0.005423491,0.962211309,0.989156706,30.52471387,5.104156401,17.84528647,43.20414128
vanT_Cd,vanS_Cd,0.975684008,0.005423491,0.962211309,0.989156706,30.52471387,5.104156401,17.84528647,43.20414128
cfrB,dfrF,0.684615385,0.201767339,0.183397528,1.185833241,29.81044121,10.42624078,3.910223286,55.71065913
tet40,sat4,0.264906526,0.029259294,0.19222241,0.337590642,29.74674662,8.188693006,9.404905509,50.08858772
aadE,aad9,0.278231397,0.094042856,0.044615991,0.511846803,29.4668828,15.09219413,-8.024205801,66.9579714
aad9,cfrC,0.271880722,0.070133072,0.097660513,0.446100932,26.01035267,7.855065944,6.497287133,45.52341821
gyrB_S416A,spw,0.155379367,0.027995305,0.085835173,0.22492356,25.48676268,24.05117031,-34.25965651,85.23318187
dfrF,cfrC,0.304622122,0.13033787,-0.019155098,0.628399341,23.98038222,11.3304692,-4.166063622,52.12682806
gyrB_S366A,gyrB_D426V,0.133662925,0.064281032,-0.02602001,0.293345861,23.07343974,2.969877106,15.69585603,30.45102346
vanS_Cd,vanG,0.982711587,0.001833105,0.978157902,0.987265273,22.7076178,6.258522326,7.160586474,38.25464913
vanS_Cd,vanT_Cd,0.982711587,0.001833105,0.978157902,0.987265273,22.7076178,6.258522326,7.160586474,38.25464913
gyrB_S416A,aph3p_IIIa,0.097705748,0.023978464,0.038139942,0.157271555,22.08321012,6.569342128,5.764059599,38.40236064
dfrF,aac6p_Ie_aph2pp_Ia,0.665552976,0.105229036,0.404149558,0.926956393,21.86287335,5.140173207,9.093975238,34.63177146
vanS_Cd,vanR_Cd,0.984292993,0.002584517,0.977872697,0.99071329,21.66151252,6.714759567,4.981125058,38.34189999
rpoB_H502N,rpoB_R505K,0.956650474,0.00975901,0.932407749,0.980893199,21.4487271,3.336260158,13.16099743,29.73645678
erm52,rpoB_H502N,0.46556975,0.438269199,-0.623151294,1.554290794,21.43240996,18.60651606,-24.78873826,67.65355819
aph3p_IIIa,ant6_Ia,0.79734249,0.038672397,0.701274931,0.893410049,21.04659456,7.392113145,2.683567526,39.40962159
sat4,erm52,0.173099693,0.122295729,-0.130699739,0.476899126,20.89654538,22.43527578,-34.83576927,76.62886002
aadE,aph3p_IIIa,0.144906318,0.026357399,0.079430908,0.210381728,20.82327803,3.578348229,11.93416825,29.71238781
ermB,aac6p_Ie_aph2pp_Ia,0.211489624,0.085443497,-0.000763789,0.423743036,20.8044862,11.31469761,-7.302780843,48.91175324
gyrB_S366V,aph3p_IIIa,0.112788925,0.030107096,0.037998751,0.187579098,20.71045616,5.753050396,6.419086711,35.0018256
blaCDD,vanZ1,0.822048619,0.019636166,0.773269678,0.87082756,20.46539657,15.90364075,-19.04143718,59.97223033
gyrB_S366V,gyrB_S416A,0.990725289,0.00149847,0.987002883,0.994447695,20.38325687,0.84369197,18.28740983,22.47910391
cfrC,dfrF,0.4525672,0.145978874,0.089935574,0.815198825,18.59896607,6.976701764,1.267878114,35.93005403
sat4,ant6_Ia,0.715411665,0.094362947,0.481001109,0.949822221,18.43349758,8.054966093,-1.576147455,38.44314262
aadE,sat4,0.139804835,0.024663267,0.078537883,0.201071787,17.35410741,7.247712848,-0.650209398,35.35842422
blaCDD_2,cfrC,0.141679569,0.042641492,0.035752231,0.247606906,17.10353487,8.495980315,-4.001650224,38.20871997
gyrB_S416A,sat4,0.093816546,0.022052685,0.039034638,0.148598453,16.19669096,10.2265299,-9.207417624,41.60079955
cfrC,aad9,0.545081443,0.139748583,0.197926717,0.89223617,15.76452448,1.996058824,10.80603948,20.72300948
gyrB_S366V,sat4,0.10777791,0.027770743,0.038791559,0.176764261,15.63521673,8.820390576,-6.275848136,37.54628159
tetM,ant6_Ia,0.223630232,0.04610006,0.109111335,0.33814913,15.14370128,0.336148448,14.30866224,15.97874031
gyrB_S366A,erm52,0.078097313,0.039934529,-0.021105557,0.177300183,14.79652839,14.48251191,-21.18002561,50.77308239
tetM,dfrF,0.135360238,0.045544861,0.022220533,0.248499944,14.76964431,3.19707601,6.827667227,22.7116214
cfrB,aac6p_Ie_aph2pp_Ia,0.610199303,0.15716309,0.219784544,1.000614061,14.70474023,5.265899645,1.623520333,27.78596012
erm52,rpoB_R505K,0.850110536,0.090477582,0.625351763,1.07486931,14.53155412,0.782316358,12.58817256,16.47493569
aph3p_IIIa,tet40,0.696578774,0.069770982,0.523258046,0.869899502,14.52973139,2.658531724,7.925572477,21.1338903
erm52,sat4,0.293578132,0.262250351,-0.357887854,0.945044119,14.38146168,12.25554369,-16.06299658,44.82591995
tet40,aadE,0.987615362,0.003542568,0.978815135,0.99641559,13.68164124,1.366822264,10.28626651,17.07701597
sat4,tet40,0.659984751,0.114873721,0.374622608,0.945346894,13.46348096,1.613177619,9.456125605,17.47083632
ermB,dfrF,0.133013946,0.047373963,0.015330498,0.250697393,13.25331903,0.854535409,11.13053539,15.37610266
aac6p_Ie_aph2pp_Ia,erm52,0.114757176,0.056346704,-0.025215795,0.254730148,12.82953081,10.02353885,-12.07032005,37.72938166
tetM,aph3p_IIIa,0.089808853,0.01244392,0.058896443,0.120721264,12.34123404,0.452882867,11.21621064,13.46625745
rpoB_R505K,cfrC,0.149572644,0.060384578,-0.000430964,0.299576252,12.32920713,7.247131012,-5.673664318,30.33207858
sat4,cfrB,0.192564204,0.129575617,-0.129319474,0.514447882,12.30874479,6.29859957,-3.337843936,27.95533351
cfrB,sat4,0.238828015,0.104364971,-0.020428944,0.498084974,11.76619827,5.952290522,-3.020111089,26.55250763
blaCDD,vanR_Cd,0.672364334,0.017573585,0.628709129,0.71601954,11.28178996,8.027993926,-8.660852503,31.22443242
tetM,spw,0.154134603,0.054476103,0.018808462,0.289460744,11.26208514,2.497449305,5.058077141,17.46609315
vanZ1,blaCDD_1,0.040553679,0.006930422,0.023337557,0.0577698,10.07016581,1.327100157,6.773466264,13.36686536
gyrA_T82I,gyrB_D426V,0.062575907,0.042296466,-0.04249434,0.167646153,10.05526772,3.693868198,0.879190433,19.23134502
tetM,sat4,0.086701226,0.011835492,0.057300234,0.116102219,9.781143849,2.603455385,3.313802145,16.24848555
aadE,cfrC,0.102005817,0.041297248,-0.000582234,0.204593869,9.768338999,5.019308347,-2.700314153,22.23699215
tetM,aph2pp_If,0.063636149,0.018728004,0.017113208,0.11015909,9.531766281,4.20239299,-0.907556625,19.97108919
aac6p_Ie_aph2pp_Ia,rpoB_H502N,0.180169792,0.111443135,-0.096670303,0.457009886,9.046288847,4.632317118,-2.4610248,20.55360249
blaCDD,vanG,0.669887755,0.016311221,0.629368437,0.710407073,8.722524611,5.691068077,-5.414872219,22.85992144
blaCDD,vanT_Cd,0.669887755,0.016311221,0.629368437,0.710407073,8.722524611,5.691068077,-5.414872219,22.85992144
blaCDD_2,aac6p_Ie_aph2pp_Ia,0.258800938,0.076266338,0.069344852,0.448257024,8.675903325,3.008447672,1.202505008,16.14930164
gyrB_S366V,aadE,0.473127571,0.100869795,0.22255311,0.723702033,8.6363801,1.984478356,3.706662579,13.56609762
ermB,rpoB_H502N,0.078980897,0.015985469,0.03927079,0.118691004,8.188845586,6.441364384,-7.812390596,24.19008177
aad9,aadE,0.783726558,0.126812515,0.468706808,1.098746308,8.027316684,2.496344387,1.826053451,14.22857992
tetM,tet40,0.206553341,0.03982129,0.107631773,0.305474909,7.978516232,0.941536709,5.639609387,10.31742308
cfrB,gyrB_S366A,0.813071469,0.038582796,0.71722649,0.908916448,7.943329042,2.338665402,2.133762122,13.75289596
erm52,aac6p_Ie_aph2pp_Ia,0.391421518,0.216412178,-0.146176135,0.929019172,7.806970807,3.987238989,-2.097879931,17.71182155
gyrB_S366V,aad9,0.156189737,0.030916714,0.079388361,0.232991114,7.703718792,1.54846529,3.85711777,11.55031981
rpoB_R505K,cfrB,0.102272773,0.079168537,-0.094392776,0.298938321,7.586832119,5.856499227,-6.961518469,22.13518271
ermB,rpoB_R505K,0.21465435,0.019647176,0.165848058,0.263460642,7.564295824,2.395386009,1.613827104,13.51476454
rpoB_H502N,aac6p_Ie_aph2pp_Ia,0.327605484,0.127736256,0.010291032,0.644919935,7.489698622,3.444196151,-1.066158923,16.04555617
cfrC,rpoB_R505K,0.459696505,0.147261185,0.093879442,0.825513567,7.474278669,2.628450632,0.944845329,14.00371201
tet40,gyrB_S366V,0.95768883,0.003818764,0.948202494,0.967175166,7.412041713,1.474658946,3.748785814,11.07529761
gyrB_S416A,aadE,0.402224737,0.079933192,0.203659681,0.600789793,7.335496441,1.555279514,3.471967947,11.19902494
blaCDD,vanS_Cd,0.664714349,0.014458868,0.628796531,0.700632167,7.216826153,4.405289316,-3.726519168,18.16017147
cfrC,blaCDD_2,0.624900323,0.150107763,0.252011969,0.997788676,7.091778729,1.939345891,2.274176465,11.90938099
gyrB_D426V,gyrB_S366A,0.755585518,0.060526487,0.605229389,0.905941647,7.073948739,0.459316615,5.932943015,8.214954464
aph3p_IIIa,erm52,0.084092322,0.053994969,-0.050038618,0.218223262,7.064978761,6.891687463,-10.05492196,24.18487948
