Organism,Gene A,Gene B,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high,BDPS
S. enterica,merA,aac3_Id,0.99,0.01,0.99,0.99,248.43,146.96,219.27,277.59,ND
S. enterica,merD,aadA7,0.99,0.01,0.98,0.99,213.69,104.66,192.92,234.46,ND
S. enterica,merE,aadA7,0.98,0.01,0.98,0.99,214.47,91.46,196.32,232.62,ND
S. enterica,merD,aac3_Id,0.98,0.01,0.98,0.99,189.43,60.87,177.35,201.51,ND
S. enterica,merE,aac3_Id,0.98,0.02,0.98,0.99,193.19,76.07,178.10,208.28,ND
E. coli,pcoS,gyrA_S83A,0.98,0.02,0.98,0.98,41.31,8.07,39.71,42.91,ND
E. coli,pcoE,gyrA_S83A,0.98,0.02,0.98,0.98,61.73,14.89,58.77,64.68,ND
E. coli,pcoC,gyrA_S83A,0.98,0.02,0.98,0.98,45.01,8.19,43.39,46.64,ND
E. coli,silB,gyrA_S83A,0.98,0.02,0.97,0.98,38.14,6.19,36.92,39.37,ND
E. coli,silF,gyrA_S83A,0.98,0.02,0.98,0.98,37.93,6.44,36.65,39.21,ND
E. coli,silP,gyrA_S83A,0.98,0.01,0.97,0.98,37.86,6.49,36.57,39.15,ND
E. coli,silA,gyrA_S83A,0.98,0.02,0.97,0.98,37.93,6.24,36.69,39.17,ND
E. coli,silC,gyrA_S83A,0.98,0.02,0.97,0.98,38.13,6.72,36.80,39.47,ND
E. coli,silE,gyrA_S83A,0.97,0.02,0.97,0.97,37.89,5.84,36.73,39.05,ND
E. coli,silS,gyrA_S83A,0.97,0.02,0.97,0.97,38.02,6.18,36.79,39.25,ND
S. enterica,merC,dfrA7,0.96,0.02,0.96,0.97,13.45,1.19,13.22,13.69,ND
E. coli,silR,gyrA_S83A,0.96,0.02,0.95,0.96,37.92,6.34,36.66,39.18,ND
S. enterica,merA,aadA7,0.94,0.05,0.93,0.95,274.28,435.31,187.91,360.66,ND
S. enterica,terW,tetC,0.83,0.14,0.80,0.86,84.24,27.69,78.74,89.73,ND
S. enterica,silS,tetC,0.83,0.14,0.80,0.85,6.67,1.17,6.43,6.90,ND
S. enterica,merA,tetC,0.83,0.16,0.80,0.86,76.47,22.21,72.06,80.88,ND
S. enterica,silR,tetC,0.83,0.15,0.80,0.86,6.62,1.23,6.38,6.86,ND
S. enterica,terD,tetC,0.82,0.16,0.79,0.85,83.83,31.62,77.56,90.10,ND
S. enterica,silP,tetC,0.82,0.15,0.79,0.85,6.59,1.24,6.35,6.84,ND
S. enterica,terZ,tetC,0.82,0.15,0.79,0.84,82.62,28.13,77.04,88.20,ND
S. enterica,silF,tetC,0.81,0.15,0.78,0.84,6.55,1.27,6.30,6.80,ND
S. enterica,silE,tetC,0.81,0.16,0.78,0.84,6.47,1.35,6.20,6.74,ND
S. enterica,merD,tetC,0.79,0.15,0.76,0.82,67.41,19.13,63.62,71.21,ND
S. enterica,merE,tetC,0.79,0.16,0.75,0.82,66.85,20.27,62.83,70.87,ND
S. enterica,merR,tetC,0.77,0.13,0.74,0.80,8.76,1.64,8.43,9.08,ND
S. enterica,silE,aac3_VIa,0.60,0.17,0.57,0.63,4.79,1.37,4.52,5.06,ND
S. enterica,silF,aac3_VIa,0.59,0.17,0.55,0.62,4.70,1.39,4.42,4.97,ND
S. enterica,silS,aac3_VIa,0.59,0.18,0.55,0.62,4.68,1.41,4.40,4.96,ND
S. enterica,silR,aac3_VIa,0.59,0.18,0.55,0.62,4.69,1.46,4.40,4.98,ND
E. coli,ncrC,aac6p_Ibp,0.43,0.18,0.39,0.47,225.95,266.01,173.17,278.74,ND
P. aeruginosa,merT,qacG2,0.80,0.11,0.78,0.82,2.51,0.37,2.44,2.59,59.93
P. aeruginosa,merP,qacG2,0.74,0.10,0.72,0.76,2.37,0.36,2.30,2.44,58.53
P. aeruginosa,merR,qacG2,0.75,0.10,0.73,0.77,2.36,0.33,2.30,2.43,58.47
P. aeruginosa,merA,blaGES-19,0.71,0.08,0.69,0.72,2.68,0.31,2.62,2.74,43.25
P. aeruginosa,merT,cmlA6,0.70,0.06,0.69,0.71,2.19,0.20,2.15,2.23,41.27
E. coli,merC,mph(B),0.87,0.10,0.84,0.89,6.12,0.79,5.96,6.28,40.80
P. aeruginosa,merR,cmlA6,0.71,0.07,0.69,0.72,2.23,0.24,2.18,2.28,40.17
S. enterica,silC,aac(3)-VIa,0.59,0.17,0.55,0.62,4.73,1.41,4.45,5.00,32.55
S. enterica,silB,aac(3)-VIa,0.58,0.19,0.54,0.62,4.61,1.47,4.32,4.91,31.95
S. enterica,silA,aac(3)-VIa,0.59,0.18,0.56,0.63,4.71,1.45,4.43,5.00,31.71
S. enterica,silP,aac(3)-VIa,0.58,0.19,0.55,0.62,4.66,1.55,4.35,4.97,30.83
S. enterica,merT,tetC,0.76,0.12,0.74,0.79,8.73,1.55,8.42,9.04,28.07
S. enterica,arsR,blaCTX-M-65,0.52,0.10,0.50,0.54,3.21,0.60,3.09,3.33,26.92
P. aeruginosa,merT,blaIMP-1,0.88,0.12,0.85,0.90,2.84,0.40,2.76,2.92,14.30
E. coli,merR,parC_A56T,0.62,0.08,0.61,0.64,3.76,0.55,3.65,3.87,13.95
E. coli,merT,parC_A56T,0.60,0.08,0.58,0.61,3.76,0.52,3.65,3.86,13.46
P. aeruginosa,merA,blaOXA-1035,0.69,0.05,0.68,0.70,2.70,0.22,2.65,2.74,13.39
E. coli,merP,parC_A56T,0.58,0.07,0.56,0.59,3.73,0.49,3.64,3.83,13.10
P. aeruginosa,merT,aadA6,0.91,0.04,0.90,0.92,2.97,0.20,2.93,3.01,12.07
P. aeruginosa,merR,aadA6,0.92,0.04,0.91,0.93,3.02,0.20,2.98,3.06,11.91
P. aeruginosa,merP,aadA6,0.91,0.05,0.90,0.92,3.04,0.21,3.00,3.08,11.75
E. coli,merC,parC_A56T,0.51,0.07,0.49,0.52,3.63,0.55,3.52,3.74,11.33
P. aeruginosa,merD,aadA6,0.86,0.04,0.85,0.86,2.97,0.19,2.93,3.01,11.23
P. aeruginosa,merE,aadA6,0.85,0.04,0.84,0.86,3.14,0.23,3.10,3.19,10.70
P. aeruginosa,merR,blaPDC_35,0.70,0.05,0.69,0.72,2.29,0.19,2.25,2.33,10.44
P. aeruginosa,merA,aadA6,0.95,0.04,0.94,0.96,3.82,0.24,3.77,3.86,10.10
P. aeruginosa,merT,blaCARB-2,0.71,0.04,0.70,0.72,2.30,0.15,2.27,2.33,9.78
P. aeruginosa,merR,blaCARB-2,0.70,0.03,0.70,0.71,2.28,0.15,2.26,2.31,9.71
P. aeruginosa,merT,blaIMP,0.80,0.07,0.78,0.81,2.61,0.28,2.55,2.66,9.62
P. aeruginosa,merA,blaCARB-2,0.68,0.04,0.68,0.69,2.71,0.19,2.67,2.75,8.03
E. coli,merR,dfrA5,0.91,0.05,0.90,0.92,5.97,0.48,5.87,6.06,6.96
E. coli,merT,dfrA5,0.91,0.05,0.90,0.92,6.28,0.48,6.19,6.38,6.67
E. coli,merP,dfrA5,0.90,0.05,0.89,0.91,6.41,0.47,6.32,6.51,6.47
S. enterica,merT,dfrA7,0.95,0.02,0.95,0.95,12.32,1.04,12.12,12.53,6.25
S. enterica,merR,dfrA7,0.94,0.02,0.94,0.95,12.12,1.06,11.91,12.33,6.22
S. enterica,merP,dfrA7,0.93,0.03,0.93,0.94,12.78,1.20,12.54,13.02,5.97
S. enterica,merP,tetB,0.76,0.04,0.75,0.77,21.33,3.19,20.70,21.97,5.97
S. enterica,merP,catA1,0.67,0.07,0.65,0.68,9.09,1.20,8.85,9.33,5.97
E. coli,terD,lnuF,0.53,0.09,0.51,0.54,11.71,2.35,11.25,12.18,5.54
P. aeruginosa,merF,blaOXA_914,0.46,0.08,0.44,0.47,10.78,2.72,10.24,11.32,5.45
E. coli,pcoS,qnrB19,0.58,0.13,0.55,0.60,19.02,5.17,18.00,20.05,5.45
E. coli,merC,dfrA5,0.92,0.05,0.91,0.93,7.38,0.62,7.26,7.51,5.39
P. aeruginosa,merR,aac6p_Il,0.72,0.03,0.71,0.72,2.43,0.15,2.40,2.46,5.22
P. aeruginosa,merT,aac6p_Il,0.71,0.04,0.71,0.72,2.41,0.17,2.38,2.45,5.20
P. aeruginosa,merT,floR2,0.70,0.03,0.70,0.71,2.38,0.17,2.34,2.41,5.14
P. aeruginosa,merP,aac6p_Il,0.71,0.04,0.70,0.72,2.44,0.17,2.40,2.47,5.09
P. aeruginosa,merT,tetG,0.73,0.03,0.72,0.74,2.50,0.19,2.46,2.53,4.82
P. aeruginosa,merT,aac6p_Ib4,0.76,0.03,0.76,0.77,2.63,0.17,2.59,2.66,4.81
P. aeruginosa,merP,aac6p_Ib4,0.75,0.03,0.74,0.75,2.61,0.17,2.58,2.65,4.77
P. aeruginosa,merR,tetG,0.72,0.03,0.72,0.73,2.49,0.17,2.46,2.52,4.76
P. aeruginosa,merR,aac6p_Ib4,0.75,0.04,0.74,0.76,2.60,0.17,2.57,2.64,4.75
P. aeruginosa,merP,tetG,0.72,0.03,0.71,0.72,2.48,0.18,2.45,2.52,4.69
E. coli,terD,gyrA_S83A,0.94,0.03,0.93,0.94,23.96,3.62,23.24,24.68,4.68
P. aeruginosa,merT,floR,0.71,0.03,0.70,0.71,2.41,0.17,2.38,2.44,4.64
P. aeruginosa,merR,floR,0.71,0.03,0.70,0.72,2.43,0.17,2.40,2.46,4.63
P. aeruginosa,merD,aac6p_Ib4,0.67,0.03,0.67,0.68,2.44,0.18,2.40,2.48,4.52
E. coli,terW,gyrA_S83A,0.94,0.03,0.93,0.95,25.45,3.63,24.73,26.18,4.42
S. enterica,merR,catA1,0.68,0.07,0.66,0.69,8.69,1.13,8.46,8.91,4.32
S. enterica,merT,catA1,0.68,0.06,0.67,0.69,8.86,1.01,8.66,9.06,4.29
A. baumannii,merD,blaADC_176,0.61,0.13,0.58,0.64,9.97,2.48,9.48,10.47,4.10
S. enterica,merC,catA1,0.68,0.06,0.66,0.69,9.36,1.08,9.15,9.57,4.05
A. baumannii,merT,blaADC_176,0.60,0.13,0.57,0.62,9.87,2.44,9.39,10.36,3.98
P. aeruginosa,merA,aac6p_Ib4,0.69,0.04,0.69,0.70,2.94,0.22,2.90,2.99,3.97
P. aeruginosa,merR,ant2pp_Ia,0.73,0.03,0.72,0.73,2.55,0.17,2.51,2.58,3.96
P. aeruginosa,merT,ant2pp_Ia,0.73,0.03,0.72,0.73,2.54,0.17,2.51,2.58,3.95
A. baumannii,merR,blaADC_176,0.58,0.13,0.56,0.61,9.76,2.54,9.26,10.27,3.90
P. aeruginosa,merP,ant2pp_Ia,0.71,0.03,0.71,0.72,2.55,0.18,2.52,2.59,3.86
E. coli,terE,qacF,0.12,0.15,0.09,0.15,65.18,82.43,48.82,81.53,3.50
E. coli,terD,mcr_1_1,0.65,0.06,0.64,0.66,16.09,2.47,15.60,16.58,3.39
S. enterica,arsR,gyrA_D87Y,0.69,0.05,0.68,0.70,5.11,0.47,5.01,5.20,3.30
E. coli,merR,catA1,0.75,0.06,0.74,0.76,5.34,0.54,5.23,5.45,3.29
E. coli,terZ,mcr_1_1,0.66,0.06,0.64,0.67,17.34,3.01,16.74,17.94,3.22
A. baumannii,merA,blaADC_176,0.61,0.14,0.58,0.64,13.38,3.79,12.63,14.13,3.20
E. coli,pcoA,gyrA_S83A,0.98,0.02,0.97,0.98,43.26,8.03,41.67,44.86,3.20
S. enterica,terZ,aac3_VIa,0.54,0.19,0.50,0.58,54.64,30.46,48.60,60.69,3.19
