Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
mtrR,gyrA_S91F,0.991682174,0.003281914,0.991030971,0.992333377,1.141339719,0.045320572,1.132347135,1.150332304
penA_A510V,rpsJ_V57M,0.988717796,0.006464887,0.987435022,0.99000057,6.515325956,2.647120797,5.990079761,7.040572152
mtrR,parC_S87R,0.988459097,0.004399428,0.987586155,0.989332039,1.091466311,0.029356608,1.085641323,1.097291299
penA_A510V,folP_R228S,0.986754794,0.007439613,0.985278614,0.988230975,5.454352095,1.587633577,5.139331149,5.76937304
mtrR,gyrA_D95G,0.985208291,0.005534728,0.98411008,0.986306501,1.071714076,0.023706715,1.067010149,1.076418002
penA_F504L,penA_A510V,0.983837777,0.002852807,0.983271718,0.984403835,22.23980533,5.201442847,21.20772623,23.27188444
penA_A510V,penA_F504L,0.9820733,0.004625334,0.981155534,0.982991067,24.28620305,5.751111678,23.14505773,25.42734838
mtrR,penA_G542S,0.980514737,0.010267907,0.978477362,0.982552113,1.053365265,0.019376657,1.049520516,1.057210015
penA_F504L,rpsJ_V57M,0.979794981,0.006557428,0.978493845,0.981096117,5.504408843,1.663446414,5.174344986,5.8344727
rpsJ_V57M,gyrA_S91F,0.979247643,0.006053176,0.978046562,0.980448725,3.170779613,0.513734307,3.068843581,3.272715645
penA_A510V,gyrA_S91F,0.979246518,0.007796793,0.977699465,0.980793571,2.368847241,0.264909546,2.31628344,2.421411042
penA_F504L,folP_R228S,0.979064775,0.006869649,0.977701688,0.980427862,4.786769056,1.133512199,4.561855644,5.011682468
penA_A510V,penA_A516G,0.978259785,0.007973214,0.976677727,0.979841844,1.883722432,0.165827574,1.850818644,1.916626221
mtrR,porB1b_A121N,0.977725895,0.009924368,0.975756685,0.979695105,1.050485281,0.018339505,1.046846325,1.054124236
folP_R228S,ponA_L421P,0.976898697,0.011818388,0.974553672,0.979243721,3.72108467,0.76867703,3.568562471,3.87360687
penA_F504L,gyrA_S91F,0.974850133,0.007791571,0.973304116,0.97639615,2.309530504,0.249848074,2.259955226,2.359105783
penA_A510V,ponA_L421P,0.97402047,0.009609608,0.972113715,0.975927225,2.455706767,0.329883678,2.390250689,2.521162846
penA_D346DD,penA_A516G,0.972868345,0.005630458,0.97175114,0.97398555,2.774474614,0.356847087,2.70366841,2.845280818
penA_F504L,ponA_L421P,0.972734941,0.008070441,0.97113359,0.974336291,2.412966977,0.29914958,2.353609211,2.472324744
mtrR,ponA_L421P,0.971847395,0.016177538,0.96863742,0.975057369,1.092538044,0.047262342,1.08316017,1.101915918
